employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle
1002.0,Murphy,Diane,x5800,dmurphy@classicmodelcars.com,1.0,,President
1056.0,Patterson,Mary,x4611,mpatterso@classicmodelcars.com,1.0,1002.0,VP Sales
1076.0,Firrelli,Jeff,x9273,jfirrelli@classicmodelcars.com,1.0,1002.0,VP Marketing
1088.0,Patterson,William,x4871,wpatterson@classicmodelcars.com,6.0,1056.0,Sales Manager APAC
1102.0,Bondur,Gerard,x5408,gbondur@classicmodelcars.com,4.0,1056.0,Sale Manager EMEA
1143.0,Bow,Anthony,x5428,abow@classicmodelcars.com,1.0,1056.0,Sales Manager NA
1165.0,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1.0,1143.0,Sales Rep
1166.0,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1.0,1143.0,Sales Rep
1188.0,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2.0,1143.0,Sales Rep
1216.0,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2.0,1143.0,Sales Rep
1286.0,Tseng,Foon Yue,x2248,ftseng@classicmodelcars.com,3.0,1143.0,Sales Rep
1323.0,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3.0,1143.0,Sales Rep
1337.0,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4.0,1102.0,Sales Rep
1370.0,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4.0,1102.0,Sales Rep
1401.0,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4.0,1102.0,Sales Rep
1501.0,Bott,Larry,x2311,lbott@classicmodelcars.com,7.0,1102.0,Sales Rep
1504.0,Jones,Barry,x102,bjones@classicmodelcars.com,7.0,1102.0,Sales Rep
1611.0,Fixter,Andy,x101,afixter@classicmodelcars.com,6.0,1088.0,Sales Rep
1612.0,Marsh,Peter,x102,pmarsh@classicmodelcars.com,6.0,1088.0,Sales Rep
1619.0,King,Tom,x103,tking@classicmodelcars.com,6.0,1088.0,Sales Rep
1621.0,Nishi,Mami,x101,mnishi@classicmodelcars.com,5.0,1056.0,Sales Rep
1625.0,Kato,Yoshimi,x102,ykato@classicmodelcars.com,5.0,1621.0,Sales Rep
1702.0,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4.0,1102.0,Sales Rep
